id,filename,modality,category,duration_sec,source
0001,landscape_001.jpg,image,nature,,Wikiart
0002,landscape_002.jpg,image,nature,,Wikiart
0003,landscape_003.jpg,image,nature,,Wikiart
0004,face_001.jpg,image,faces,,FFHQ
0005,face_002.jpg,image,faces,,FFHQ
0006,face_003.jpg,image,faces,,FFHQ
0007,face_004.jpg,image,faces,,FFHQ
0008,abstract_001.jpg,image,abstract,,Wikiart
0009,abstract_002.jpg,image,abstract,,Wikiart
0010,abstract_003.jpg,image,abstract,,
0011,still_life_001.jpg,image,objects,,COCO
0012,still_life_002.jpg,image,objects,,COCO
0013,still_life_003.jpg,image,objects,,COCO
0014,food_001.jpg,image,food,,COCO
0015,food_002.jpg,image,food,,COCO
0016,architecture_001.jpg,image,architecture,,Wikiart
0017,architecture_002.jpg,image,architecture,,Wikiart
0018,architecture_003.jpg,image,,,Wikiart
0019,landscape_004.jpg,image,nature,,Wikiart
0020,landscape_005.jpg,image,nature,,Wikiart
0021,clip_001.wav,audio,music,12.5,FMA
0022,clip_002.wav,audio,music,9.8,FMA
0023,clip_003.wav,audio,music,15.2,FMA
0024,clip_004.wav,audio,music,8.1,FMA
0025,clip_005.wav,audio,music,11.7,FMA
0026,speech_001.wav,audio,speech,7.3,LibriSpeech
0027,speech_002.wav,audio,speech,9.1,LibriSpeech
0028,speech_003.wav,audio,speech,10.4,LibriSpeech
0029,speech_004.wav,audio,speech,6.8,LibriSpeech
0030,nature_sound_001.wav,audio,ambient,28.4,Freesound
0031,nature_sound_002.wav,audio,ambient,22.1,Freesound
0032,nature_sound_003.wav,audio,ambient,18.9,Freesound
0033,urban_sound_001.wav,audio,ambient,14.2,Freesound
0034,urban_sound_002.wav,audio,ambient,,Freesound
0035,clip_006.wav,audio,music,10.8,FMA
0036,passage_001.txt,text,fiction,,Gutenberg
0037,passage_002.txt,text,fiction,,Gutenberg
0038,passage_003.txt,text,fiction,,Gutenberg
0039,passage_004.txt,text,fiction,,Gutenberg
0040,news_001.txt,text,news,,CommonCrawl
0041,news_002.txt,text,news,,CommonCrawl
0042,news_003.txt,text,news,,CommonCrawl
0043,poem_001.txt,text,poetry,,Gutenberg
0044,poem_002.txt,text,poetry,,Gutenberg
0045,poem_003.txt,text,poetry,,
0046,wiki_001.txt,text,reference,,Wikipedia
0047,wiki_002.txt,text,reference,,Wikipedia
0048,wiki_003.txt,text,reference,,Wikipedia
0049,passage_005.txt,text,fiction,,Gutenberg
0050,passage_006.txt,text,fiction,,Gutenberg
